state,year,race,pop
California (06),1995,Not Hispanic or Latino,22380327
California (06),1996,Hispanic or Latino,9617003
California (06),1996,Not Hispanic or Latino,22401831
California (06),1997,Hispanic or Latino,9958475
California (06),1997,Not Hispanic or Latino,22527535
California (06),1998,Hispanic or Latino,10318932
California (06),1998,Not Hispanic or Latino,22668743
California (06),1999,Hispanic or Latino,10682606
California (06),1999,Not Hispanic or Latino,22816598
California (06),2000,Hispanic or Latino,11054553
California (06),2000,Not Hispanic or Latino,22933424
California (06),2001,Hispanic or Latino,11383962
California (06),2001,Not Hispanic or Latino,23095496
California (06),2002,Hispanic or Latino,11705795
California (06),2002,Not Hispanic or Latino,23166048
California (06),2003,Hispanic or Latino,12030015
California (06),2003,Not Hispanic or Latino,23223144
California (06),2004,Hispanic or Latino,12335567
California (06),2004,Not Hispanic or Latino,23239009
California (06),2005,Hispanic or Latino,12619831
California (06),2005,Not Hispanic or Latino,23208112
California (06),2006,Hispanic or Latino,12876105
California (06),2006,Not Hispanic or Latino,23145097
California (06),2007,Hispanic or Latino,13136305
California (06),2007,Not Hispanic or Latino,23114006
California (06),2008,Hispanic or Latino,13447993
California (06),2008,Not Hispanic or Latino,23156344
California (06),2009,Hispanic or Latino,13759867
California (06),2009,Not Hispanic or Latino,23201362
California (06),2010,Hispanic or Latino,14062621
California (06),2010,Not Hispanic or Latino,23256881
California (06),2011,Hispanic or Latino,14275993
California (06),2011,Not Hispanic or Latino,23362376
California (06),2012,Hispanic or Latino,14466320
California (06),2012,Not Hispanic or Latino,23482480
California (06),2013,Hispanic or Latino,14654801
California (06),2013,Not Hispanic or Latino,23605986
California (06),2014,Hispanic or Latino,14845913
California (06),2014,Not Hispanic or Latino,23751059
California (06),2015,Hispanic or Latino,15030627
California (06),2015,Not Hispanic or Latino,23887418
California (06),2016,Hispanic or Latino,15205729
California (06),2016,Not Hispanic or Latino,23961388
California (06),2017,Hispanic or Latino,15354335
California (06),2017,Not Hispanic or Latino,24004162
California (06),2018,Hispanic or Latino,15472859
California (06),2018,Not Hispanic or Latino,23988729
California (06),2019,Hispanic or Latino,15574880
California (06),2019,Not Hispanic or Latino,23937343
Colorado (08),1990,Hispanic or Latino,429571
Colorado (08),1990,Not Hispanic or Latino,2878047
Colorado (08),1991,Hispanic or Latino,448315
Colorado (08),1991,Not Hispanic or Latino,2938804
Colorado (08),1992,Hispanic or Latino,471616
Colorado (08),1992,Not Hispanic or Latino,3024323
Colorado (08),1993,Hispanic or Latino,499975
Colorado (08),1993,Not Hispanic or Latino,3113759
Colorado (08),1994,Hispanic or Latino,526626
Colorado (08),1994,Not Hispanic or Latino,3197542
Colorado (08),1995,Hispanic or Latino,555987
Colorado (08),1995,Not Hispanic or Latino,3270666
Colorado (08),1996,Hispanic or Latino,587035
Colorado (08),1996,Not Hispanic or Latino,3332937
Colorado (08),1997,Hispanic or Latino,622436
Colorado (08),1997,Not Hispanic or Latino,3395857
Colorado (08),1998,Hispanic or Latino,658967
Colorado (08),1998,Not Hispanic or Latino,3457672
Colorado (08),1999,Hispanic or Latino,702024
Colorado (08),1999,Not Hispanic or Latino,3523994
Colorado (08),2000,Hispanic or Latino,745292
Colorado (08),2000,Not Hispanic or Latino,3581629
Colorado (08),2001,Hispanic or Latino,783269
Colorado (08),2001,Not Hispanic or Latino,3642418
Colorado (08),2002,Hispanic or Latino,817023
Colorado (08),2002,Not Hispanic or Latino,3673383
Colorado (08),2003,Hispanic or Latino,842340
Colorado (08),2003,Not Hispanic or Latino,3686392
Colorado (08),2004,Hispanic or Latino,864744
Colorado (08),2004,Not Hispanic or Latino,3710269
Colorado (08),2005,Hispanic or Latino,892419
Colorado (08),2005,Not Hispanic or Latino,3739469
Colorado (08),2006,Hispanic or Latino,923306
Colorado (08),2006,Not Hispanic or Latino,3797117
Colorado (08),2007,Hispanic or Latino,954181
Colorado (08),2007,Not Hispanic or Latino,3849687
Colorado (08),2008,Hispanic or Latino,984899
Colorado (08),2008,Not Hispanic or Latino,3904831
Colorado (08),2009,Hispanic or Latino,1015491
Colorado (08),2009,Not Hispanic or Latino,3956704
Colorado (08),2010,Hispanic or Latino,1044599
Colorado (08),2010,Not Hispanic or Latino,4002750
Colorado (08),2011,Hispanic or Latino,1069640
Colorado (08),2011,Not Hispanic or Latino,4051468
Colorado (08),2012,Hispanic or Latino,1088484
Colorado (08),2012,Not Hispanic or Latino,4104163
Colorado (08),2013,Hispanic or Latino,1108713
Colorado (08),2013,Not Hispanic or Latino,4160322
Colorado (08),2014,Hispanic or Latino,1131352
Colorado (08),2014,Not Hispanic or Latino,4218749
Colorado (08),2015,Hispanic or Latino,1158247
Colorado (08),2015,Not Hispanic or Latino,4292376
Colorado (08),2016,Hispanic or Latino,1182806
Colorado (08),2016,Not Hispanic or Latino,4356409
Colorado (08),2017,Hispanic or Latino,1206753
Colorado (08),2017,Not Hispanic or Latino,4405132
Colorado (08),2018,Hispanic or Latino,1233748
Colorado (08),2018,Not Hispanic or Latino,4457539
Colorado (08),2019,Hispanic or Latino,1256904
Colorado (08),2019,Not Hispanic or Latino,4501832
Connecticut (09),1990,Hispanic or Latino,214806
Connecticut (09),1990,Not Hispanic or Latino,3077161
Connecticut (09),1991,Hispanic or Latino,224821
Connecticut (09),1991,Not Hispanic or Latino,3078074
Connecticut (09),1992,Hispanic or Latino,232553
Connecticut (09),1992,Not Hispanic or Latino,3068159
Connecticut (09),1993,Hispanic or Latino,242454
Connecticut (09),1993,Not Hispanic or Latino,3066721
Connecticut (09),1994,Hispanic or Latino,251248
Connecticut (09),1994,Not Hispanic or Latino,3064873
Connecticut (09),1995,Hispanic or Latino,260348
Connecticut (09),1995,Not Hispanic or Latino,3063796
Connecticut (09),1996,Hispanic or Latino,271880
Connecticut (09),1996,Not Hispanic or Latino,3064805
Connecticut (09),1997,Hispanic or Latino,283793
Connecticut (09),1997,Not Hispanic or Latino,3065555
Connecticut (09),1998,Hispanic or Latino,294955
Connecticut (09),1998,Not Hispanic or Latino,3070397
Connecticut (09),1999,Hispanic or Latino,308549
Connecticut (09),1999,Not Hispanic or Latino,3077852
Connecticut (09),2000,Hispanic or Latino,323852
Connecticut (09),2000,Not Hispanic or Latino,3087925
Connecticut (09),2001,Hispanic or Latino,338119
Connecticut (09),2001,Not Hispanic or Latino,3094716
Connecticut (09),2002,Hispanic or Latino,353717
Connecticut (09),2002,Not Hispanic or Latino,3105032
Connecticut (09),2003,Hispanic or Latino,369302
Connecticut (09),2003,Not Hispanic or Latino,3115034
Connecticut (09),2004,Hispanic or Latino,382912
Connecticut (09),2004,Not Hispanic or Latino,3113182
Connecticut (09),2005,Hispanic or Latino,396323
Connecticut (09),2005,Not Hispanic or Latino,3110633
Connecticut (09),2006,Hispanic or Latino,412867
Connecticut (09),2006,Not Hispanic or Latino,3104593
Connecticut (09),2007,Hispanic or Latino,429328
Connecticut (09),2007,Not Hispanic or Latino,3097942
Connecticut (09),2008,Hispanic or Latino,446776
Connecticut (09),2008,Not Hispanic or Latino,3098803
Connecticut (09),2009,Hispanic or Latino,465486
Connecticut (09),2009,Not Hispanic or Latino,3096321
Connecticut (09),2010,Hispanic or Latino,482457
Connecticut (09),2010,Not Hispanic or Latino,3096657
Connecticut (09),2011,Hispanic or Latino,497029
Connecticut (09),2011,Not Hispanic or Latino,3091254
Connecticut (09),2012,Hispanic or Latino,511357
Connecticut (09),2012,Not Hispanic or Latino,3083190
Connecticut (09),2013,Hispanic or Latino,524303
Connecticut (09),2013,Not Hispanic or Latino,3070538
Connecticut (09),2014,Hispanic or Latino,536662
Connecticut (09),2014,Not Hispanic or Latino,3057862
Connecticut (09),2015,Hispanic or Latino,547726
Connecticut (09),2015,Not Hispanic or Latino,3039396
Connecticut (09),2016,Hispanic or Latino,559495
Connecticut (09),2016,Not Hispanic or Latino,3018646
Connecticut (09),2017,Hispanic or Latino,573197
Connecticut (09),2017,Not Hispanic or Latino,3000100
Connecticut (09),2018,Hispanic or Latino,589825
Connecticut (09),2018,Not Hispanic or Latino,2981695
Connecticut (09),2019,Hispanic or Latino,600955
Connecticut (09),2019,Not Hispanic or Latino,2964332
Delaware (10),1990,Hispanic or Latino,16031
Delaware (10),1990,Not Hispanic or Latino,653536
Delaware (10),1991,Hispanic or Latino,17275
Delaware (10),1991,Not Hispanic or Latino,665805
Delaware (10),1992,Hispanic or Latino,18388
Delaware (10),1992,Not Hispanic or Latino,676539
Delaware (10),1993,Hispanic or Latino,19967
Delaware (10),1993,Not Hispanic or Latino,686411
Delaware (10),1994,Hispanic or Latino,22000
Delaware (10),1994,Not Hispanic or Latino,695545
Delaware (10),1995,Hispanic or Latino,24137
Delaware (10),1995,Not Hispanic or Latino,705598
Delaware (10),1996,Hispanic or Latino,26340
Delaware (10),1996,Not Hispanic or Latino,714638
Delaware (10),1997,Hispanic or Latino,28775
Delaware (10),1997,Not Hispanic or Latino,722712
Delaware (10),1998,Hispanic or Latino,31514
Delaware (10),1998,Not Hispanic or Latino,731821
Delaware (10),1999,Hispanic or Latino,34817
Delaware (10),1999,Not Hispanic or Latino,740173
Delaware (10),2000,Hispanic or Latino,37834
Delaware (10),2000,Not Hispanic or Latino,748539
Delaware (10),2001,Hispanic or Latino,40908
Delaware (10),2001,Not Hispanic or Latino,754791
Delaware (10),2002,Hispanic or Latino,44187
Delaware (10),2002,Not Hispanic or Latino,761982
Delaware (10),2003,Hispanic or Latino,47599
Delaware (10),2003,Not Hispanic or Latino,770404
Delaware (10),2004,Hispanic or Latino,51274
Delaware (10),2004,Not Hispanic or Latino,779529
Delaware (10),2005,Hispanic or Latino,55375
Delaware (10),2005,Not Hispanic or Latino,789775
Delaware (10),2006,Hispanic or Latino,59478
Delaware (10),2006,Not Hispanic or Latino,799790
Delaware (10),2007,Hispanic or Latino,63149
Delaware (10),2007,Not Hispanic or Latino,808600
Delaware (10),2008,Hispanic or Latino,66725
Delaware (10),2008,Not Hispanic or Latino,817149
Delaware (10),2009,Hispanic or Latino,70815
Delaware (10),2009,Not Hispanic or Latino,820915
Delaware (10),2010,Hispanic or Latino,73732
Delaware (10),2010,Not Hispanic or Latino,825861
Delaware (10),2011,Hispanic or Latino,75947
Delaware (10),2011,Not Hispanic or Latino,831434
Delaware (10),2012,Hispanic or Latino,77864
Delaware (10),2012,Not Hispanic or Latino,837315
Delaware (10),2013,Hispanic or Latino,79473
Delaware (10),2013,Not Hispanic or Latino,844103
Delaware (10),2014,Hispanic or Latino,81390
Delaware (10),2014,Not Hispanic or Latino,851097
Delaware (10),2015,Hispanic or Latino,83411
Delaware (10),2015,Not Hispanic or Latino,857841
Delaware (10),2016,Hispanic or Latino,85497
Delaware (10),2016,Not Hispanic or Latino,863424
Delaware (10),2017,Hispanic or Latino,88373
Delaware (10),2017,Not Hispanic or Latino,868450
Delaware (10),2018,Hispanic or Latino,91144
