state,Prohibitions on Running,,,,,,,,,Expungement/Sealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,does contact bar candidacy,Misdemeanor qualification? (Y/N),Must be registered voter? (Y/N),Felony Disenfranchisement? (Y/N/Until Sentence Complete/Until Pardoned or Restored),Rights restoration automatic upon sentence competion (Y/N),other,,,,Relief for non-conviction records,Relief for juvenile records: ,Relief for pardoned convictions: ,Arrests without convictions expunged (Y/N),Are misdemeanors expungable (Y/N),Are felony convictions expungable (Y/N),Is expungable automatic in any category? (Y/N),"If so, which",Expungement requires  petition,Years before petition/exp-eligible MD,Years before petition/exp-eligible FE,Pardon required for expungement MD,Pardon required for expungement FE,Sealed records accessible to LE?,Exp records: destroyed/hidden,Deferred adjudication mechanism?,,Arrest creates publicly indexed record?,"Arrest recorded at local, county, state",Filing charges creates public court record?,Record at County/Court/State level,convictions publicaly recorded,,,county-level arrest DB searchable online?,"If yes, fee",Largest Court case record online,All state court record online,centralized statewide DB?,state CH repository searchable?,fees,Portal/Data displays full DOB?,What displayed DOB,Portal/Data displays address?,Records searchable as of YEAR,Former inmate records searchable?,Bulk download?,Explicit restrictions?,,,Final dispositions reliably updated?,Repository aggregates statewide data?,Sealing removes from online index?,Known delays in expunchement?,"Fee barriers (low <20, med, high > 50)",name only search,,partisan control,incarceration rate per 100k,professionalized legislature index,Open records laws?,Floor session video archive?,"If yes, start date",call/follow up to confirm/for exeptions,floor transcript?,committee video archive?,committee transcript?,"if yes, start/window",follow up,API,https://guides.loc.gov/state-legislative-journals/by-state,Digitization,Digitization Start,Journal Coverage
Data are for the total population. Data may not sum to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $20,212 in 2018. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2018 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
